activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OCCCc1ccc(-c2ccccc2)cc1,CHEMBL81083,nM,90000.0,uM,90.0
,CC(=O)N[C@H]1[C@H](O)C=C(C(=O)O)C[C@@H]1N=C(N)N,CHEMBL312637,nM,100000.0,uM,100.0
,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N=C(N)N)[C@H]1NC(C)=O,CHEMBL311205,nM,2000.0,uM,2.0
,CCCCO[C@@H]1C=C(C(=O)O)C[C@H](N=C(N)N)[C@H]1NC(C)=O,CHEMBL81790,nM,3000.0,uM,3.0
,CC[C@@H](C)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL2114178,nM,500.0,uM,0.5
,CC[C@H](C)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL3220445,nM,500.0,uM,0.5
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,500.0,uM,0.5
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC(C)C,CHEMBL3220446,nM,1.0,nM,1.0
,CC(=O)N[C@H]1[C@H](OC(C)C)C(C)=C(C(=O)O)C[C@@H]1N,CHEMBL3220447,nM,2300.0,nM,2300.0
,CC(=O)N[C@H]1[C@H](OC(C)C)C(F)=C(C(=O)O)C[C@@H]1N,CHEMBL3220710,nM,3.0,nM,3.0
,CC(=O)N[C@@H]1[C@@H](N)[C@H](C)C(C(=O)O)=C[C@H]1OC(C)C,CHEMBL3220711,nM,1500.0,nM,1500.0
,CCCC[C@@H](NC(C)=O)[C@@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220712,nM,13.0,uM,0.013
,CCCC[C@@H](NC(C)=O)[C@@H]1CC(C(=O)O)C[C@H]1NC(=N)N,CHEMBL3220713,nM,14600.0,uM,14.6
,CCCN(CCC)C(=O)[C@@H](NC(C)=O)[C@H]1C[C@](O)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220714,nM,4900.0,uM,4.9
,CCCN(CCC)C(=O)[C@@H](NC(C)=O)[C@H]1C[C@@](O)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220715,nM,2300000.0,uM,2300.0
,CCC(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220176,nM,22029.26,,4.657
,CCN(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220177,nM,25003.45,,4.602
,CCCN(CCC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220178,nM,32062.69,,4.494
,CCN(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220179,nM,1059.25,,5.975
,CC(C)N(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220180,nM,4008.67,,5.397
,CC(C)N(CCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220181,nM,21037.78,,4.677
,CC(C)N(CCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL460871,nM,2103.78,,5.677
